# http://www.us.schott.com/advanced_optics/english/download/schott_optical_glass_catalogue_excel_december_2011.xls
#Name	B1	B2	B3	C1	C2	C3
N-ZK7	1.07715032E+00	1.68079109E-01	8.51889892E-01	6.76601657E-03	2.30642817E-02	8.90498778E+01
P-LAF37	1.76003244E+00	2.48286745E-01	1.15935122E+00	9.38006396E-03	3.60537464E-02	8.64324693E+01
P-LAK35	1.39324260E+00	4.18882766E-01	1.04380700E+00	7.15959695E-03	2.33637446E-02	8.83284426E+01
P-LASF47	1.85543101E+00	3.15854649E-01	1.28561839E+00	1.00328203E-02	3.87095168E-02	9.45421507E+01
P-LASF50	1.84910553E+00	3.29828674E-01	1.30400901E+00	9.99234757E-03	3.87437988E-02	9.58967681E+01
P-LASF51	1.84568806E+00	3.39001600E-01	1.32418921E+00	9.88495571E-03	3.78097402E-02	9.78415430E+01
P-PK53	9.60316767E-01	3.40437227E-01	7.77865595E-01	5.31032986E-03	1.75073434E-02	1.06875330E+02
P-SF67	1.97464225E+00	4.67095921E-01	2.43154209E+00	1.45772324E-02	6.69790359E-02	1.57444895E+02
P-SF68	2.33300670E+00	4.52961396E-01	1.25172339E+00	1.68838419E-02	7.16086325E-02	1.18707479E+02
P-SF69	1.62594647E+00	2.35927609E-01	1.67434623E+00	1.21696677E-02	6.00710405E-02	1.45651908E+02
P-SF8	1.55370411E+00	2.06332561E-01	1.39708831E+00	1.16582670E-02	5.82087757E-02	1.30748028E+02
P-SK57	1.31053414E+00	1.69376189E-01	1.10987714E+00	7.40877235E-03	2.54563489E-02	1.07751087E+02
P-SK58A	1.31678410E+00	1.71154756E-01	1.12501473E+00	7.20717498E-03	2.45659595E-02	1.02739728E+02
P-SK60	1.40790442E+00	1.43381417E-01	1.16513947E+00	7.84382378E-03	2.87769365E-02	1.05373397E+02
SF1	1.55912923E+00	2.84246288E-01	9.68842926E-01	1.21481001E-02	5.34549042E-02	1.12174809E+02
SF10	1.61625977E+00	2.59229334E-01	1.07762317E+00	1.27534559E-02	5.81983954E-02	1.16607680E+02
SF2	1.40301821E+00	2.31767504E-01	9.39056586E-01	1.05795466E-02	4.93226978E-02	1.12405955E+02
SF4	1.61957826E+00	3.39493189E-01	1.02566931E+00	1.25502104E-02	5.44559822E-02	1.17652222E+02
SF5	1.46141885E+00	2.47713019E-01	9.49995832E-01	1.11826126E-02	5.08594669E-02	1.12041888E+02
SF56A	1.70579259E+00	3.44223052E-01	1.09601828E+00	1.33874699E-02	5.79561608E-02	1.21616024E+02
SF57	1.81651371E+00	4.28893641E-01	1.07186278E+00	1.43704198E-02	5.92801172E-02	1.21419942E+02
SF6	1.72448482E+00	3.90104889E-01	1.04572858E+00	1.34871947E-02	5.69318095E-02	1.18557185E+02
SF6HT	1.72448482E+00	3.90104889E-01	1.04572858E+00	1.34871947E-02	5.69318095E-02	1.18557185E+02
SF57HTultra	1.81651371E+00	4.28893641E-01	1.07186278E+00	1.43704198E-02	5.92801172E-02	1.21419942E+02
P-BK7	1.18318503E+00	8.71756426E-02	1.03133701E+00	7.22141956E-03	2.68216805E-02	1.01702362E+02
P-SK57Q1	1.30536483E+00	1.71434328E-01	1.10117219E+00	7.36408831E-03	2.55786047E-02	1.06726060E+02
SF11	1.73848403E+00	3.11168974E-01	1.17490871E+00	1.36068604E-02	6.15960463E-02	1.21922711E+02
